andromeda3453@gmail.com,2020-04-05,182.84
mranonymous3453@gmail.com,2020-12-28,-407.67
andromeda3453@gmail.com,2020-04-03,-264.42
andromeda3453@gmail.com,2020-03-16,808.13
mranonymous3453@gmail.com,2020-10-20,203.31
mranonymous3453@gmail.com,2020-07-27,-385.08
b18101102.sikandarsaqlain@gmail.com,2020-07-05,458.87
andromeda3453@gmail.com,2020-07-25,-934.74
b18101102.sikandarsaqlain@gmail.com,2021-01-28,-631.29
mranonymous3453@gmail.com,2021-12-06,-845.91
mranonymous3453@gmail.com,2020-09-18,-540.08
andromeda3453@gmail.com,2021-02-17,378.4
andromeda3453@gmail.com,2020-11-11,-303.58
b18101102.sikandarsaqlain@gmail.com,2021-08-09,747.07
mranonymous3453@gmail.com,2021-12-24,-746.96
mranonymous3453@gmail.com,2021-11-08,752.72
b18101102.sikandarsaqlain@gmail.com,2021-01-13,-432.2
mranonymous3453@gmail.com,2021-11-25,-505.18
andromeda3453@gmail.com,2021-09-17,-601.88
andromeda3453@gmail.com,2021-07-20,-710.58
andromeda3453@gmail.com,2020-10-20,30.8
b18101102.sikandarsaqlain@gmail.com,2021-10-10,-72.33
andromeda3453@gmail.com,2021-08-14,755.55
mranonymous3453@gmail.com,2021-10-14,142.46
b18101102.sikandarsaqlain@gmail.com,2020-12-01,-568.85
b18101102.sikandarsaqlain@gmail.com,2020-05-07,-126.5
andromeda3453@gmail.com,2021-03-07,944.63
andromeda3453@gmail.com,2020-03-02,215.58
mranonymous3453@gmail.com,2020-08-11,641.51
b18101102.sikandarsaqlain@gmail.com,2021-10-07,355.41
mranonymous3453@gmail.com,2020-03-07,71.91
mranonymous3453@gmail.com,2021-08-01,-639.5
andromeda3453@gmail.com,2021-04-30,248.29
b18101102.sikandarsaqlain@gmail.com,2021-04-14,246.57
b18101102.sikandarsaqlain@gmail.com,2021-06-13,765.68
b18101102.sikandarsaqlain@gmail.com,2021-04-04,-394.52
andromeda3453@gmail.com,2021-11-12,597.51
andromeda3453@gmail.com,2021-11-09,-441.21
mranonymous3453@gmail.com,2021-06-05,-59.97
b18101102.sikandarsaqlain@gmail.com,2020-05-20,433.69
andromeda3453@gmail.com,2021-08-03,-513.42
b18101102.sikandarsaqlain@gmail.com,2021-11-02,835.28
b18101102.sikandarsaqlain@gmail.com,2021-05-02,306.17
andromeda3453@gmail.com,2020-01-31,-14.66
b18101102.sikandarsaqlain@gmail.com,2020-12-17,-818.08
andromeda3453@gmail.com,2020-09-19,-832.38
b18101102.sikandarsaqlain@gmail.com,2020-09-21,-631.04
b18101102.sikandarsaqlain@gmail.com,2021-12-19,-419.9
